STATE,Year,BurnCount
ACT,2017,648
ACT,2018,1635
ACT,2019,2504
ACT,2020,88278
ACT,2021,276
NSW,2017,289727
NSW,2018,299364
NSW,2019,274264
NSW,2020,5434275
NSW,2021,69403
NT,2017,11911645
NT,2018,29842669
NT,2019,18306379
NT,2020,12565536
NT,2021,10698700
Qld,2017,7525259
Qld,2018,5935390
Qld,2019,6745185
Qld,2020,5909144
Qld,2021,4208169
SA,2017,36130
SA,2018,140618
SA,2019,186696
SA,2020,321918
SA,2021,36524
Tas,2017,63768
Tas,2018,49923
Tas,2019,239996
Tas,2020,76769
Tas,2021,27026
Vic,2017,60905
Vic,2018,94509
Vic,2019,262644
Vic,2020,1539074
Vic,2021,78801
WA,2017,1060987
WA,2018,745200
WA,2019,820891
WA,2020,1374363
WA,2021,332109
